,vix,spx
1993-02-02,12.25,1787.300048828125
1993-02-03,12.12,1824.0999755859375
1993-02-04,12.29,1854.4000244140625
1993-02-05,12.9,1908.199951171875
1993-02-08,13.22,1904.699951171875
1993-02-09,13.48,1894.0999755859375
1993-02-10,13.43,1893.300048828125
1993-02-11,12.69,1905.5999755859375
1993-02-12,12.38,1912.0
1993-02-16,15.76,1878.199951171875
1993-02-17,15.9,1905.0
1993-02-18,15.56,1926.5
1993-02-19,15.02,1937.199951171875
1993-02-22,14.7,1959.199951171875
1993-02-23,15.04,1944.0999755859375
1993-02-24,14.72,1953.4000244140625
1993-02-25,13.76,1944.5999755859375
1993-02-26,13.16,1983.699951171875
1993-03-01,13.6,1998.800048828125
1993-03-02,12.49,2001.5
1993-03-03,13.13,1995.199951171875
1993-03-04,13.44,1986.800048828125
1993-03-05,14.08,1995.0999755859375
1993-03-08,16.22,2004.300048828125
1993-03-09,14.17,2009.699951171875
1993-03-10,13.91,1992.4000244140625
1993-03-11,14.26,1988.9000244140625
1993-03-12,15.66,1965.199951171875
1993-03-15,14.74,1986.0
1993-03-16,14.51,1975.300048828125
1993-03-17,14.53,1967.300048828125
1993-03-18,14.17,1963.5
1993-03-19,13.23,1962.699951171875
1993-03-22,13.66,1939.300048828125
1993-03-23,13.02,1952.199951171875
1993-03-24,12.44,1954.5999755859375
1993-03-25,12.08,2001.4000244140625
1993-03-26,12.21,2025.800048828125
1993-03-29,12.63,2033.9000244140625
1993-03-30,12.23,2035.9000244140625
1993-03-31,12.53,2031.4000244140625
1993-04-01,13.02,2005.9000244140625
1993-04-02,14.5,1990.800048828125
1993-04-05,14.12,1974.699951171875
1993-04-06,14.24,1995.300048828125
1993-04-07,13.64,1984.0
1993-04-08,12.83,1986.9000244140625
1993-04-13,11.7,2018.0999755859375
1993-04-14,11.76,2015.4000244140625
1993-04-15,10.96,1988.5999755859375
1993-04-16,11.29,1986.699951171875
1993-04-19,12.06,1968.9000244140625
1993-04-20,11.94,1949.300048828125
1993-04-21,12.11,1931.9000244140625
1993-04-22,12.68,1944.5
1993-04-23,13.36,1916.5999755859375
1993-04-26,15.25,1911.5999755859375
1993-04-27,13.93,1927.4000244140625
1993-04-28,13.12,1942.5
1993-04-29,12.8,1920.5999755859375
1993-04-30,12.42,1939.0
1993-05-03,12.9,1937.0
1993-05-04,12.14,1923.5999755859375
1993-05-05,12.38,1926.300048828125
1993-05-06,13.22,1920.5
1993-05-07,13.01,1878.5999755859375
1993-05-10,13.72,1877.199951171875
1993-05-11,13.35,1854.5
1993-05-12,13.56,1872.699951171875
1993-05-13,14.76,1879.9000244140625
